,listed_in(type),rest_type,total address,book_table,online_order,rate,approx_cost(for two people)
146,Delivery,Bar,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.0/5,800
148,Delivery,Casual Dining,"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,4.1/5,500
150,Delivery,Casual Dining,"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,650
151,Delivery,Quick Bites,"608, 21st Cross, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.8/5,400
152,Delivery,"Takeaway, Delivery","100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.1/5,500
153,Delivery,Quick Bites,"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,450
155,Delivery,Dessert Parlor,"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.1/5,500
156,Delivery,Casual Dining,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore, Mysore Road, Banashankari",No,Yes,3.7/5,750
159,Delivery,Quick Bites,"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.7/5,350
162,Delivery,Casual Dining,"28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.6/5,800
164,Delivery,Cafe,"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.6/5,400
166,Delivery,Casual Dining,"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,4.1/5,"1,200"
167,Delivery,Beverage Shop,"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.7/5,150
168,Delivery,Quick Bites,"1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.2/5,300
174,Delivery,Quick Bites,"Rashtriya Vidyalaya Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.2/5,500
176,Delivery,Quick Bites,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.0/5,450
177,Delivery,Quick Bites,"11/2, Old Market, V V Puram, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.1/5,200
178,Delivery,Quick Bites,"1779, 14th Main, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.8/5,250
180,Delivery,Cafe,"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,3.9/5,650
181,Delivery,Beverage Shop,"766/25-01, 47th A Cross, Near Sangam Circle, Adarsh Gardens Apartments Road, 8th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.5/5,300
182,Delivery,Casual Dining,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,4.1/5,700
185,Delivery,Dessert Parlor,"416, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,150
186,Delivery,Quick Bites,"4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,400
188,Delivery,Quick Bites,"6th C Main, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.3/5,200
190,Delivery,Quick Bites,"1424, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.9/5,300
191,Delivery,Quick Bites,"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,350
193,Delivery,Cafe,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.1/5,500
194,Delivery,Casual Dining,"1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,750
195,Delivery,Casual Dining,"1763, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.3/5,550
198,Delivery,Quick Bites,"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,200
199,Delivery,Cafe,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.0/5,400
200,Delivery,Casual Dining,"2469, 21st Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,750
201,Delivery,Casual Dining,"197/F, 8th B Main, 27th Cross, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.8/5,650
203,Delivery,Quick Bites,"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.1/5,500
204,Delivery,Quick Bites,"1/4, Nisha Complex, KR Road, Near National College, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.2/5,250
205,Delivery,Quick Bites,"9/63, 1st C Main Road, Kathreguppe, Vivekananda Nagar, Banashankri, Bangalore, Banashankari, Banashankari",No,Yes,3.5/5,150
206,Delivery,Casual Dining,"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,2.5/5,500
207,Delivery,Casual Dining,"Cosmopolitan Club, 22nd Cross, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,4.1/5,"1,500"
208,Delivery,Quick Bites,"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.1/5,300
209,Delivery,Casual Dining,"1112, Next KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,800
210,Delivery,Casual Dining,"1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore, Uttarahalli, Banashankari",No,Yes,3.6/5,700
211,Delivery,Casual Dining,"Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.6/5,700
212,Delivery,Cafe,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,550
217,Delivery,Casual Dining,"359/38,Next to Fabindia, 7th Cross, 1st Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,4.3/5,"1,300"
219,Delivery,Dessert Parlor,"415, 9th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.3/5,500
220,Delivery,Casual Dining,"433/30/1, 28th Cross, 10th Main, Opposite BDA Complex, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.8/5,700
221,Delivery,Casual Dining,"382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,3.9/5,"1,000"
223,Delivery,Casual Dining,"2nd Floor, Garla Garnet, 9th Main, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.6/5,750
226,Delivery,Beverage Shop,"81, 36th Cross Road, 5th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.4/5,250
227,Delivery,Quick Bites,"616/2, 31st Cross, 10th A Main Road, 4th block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.8/5,200
228,Delivery,Quick Bites,"66/1, Kanakpura Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,600
229,Delivery,Quick Bites,"173, DSI college Road, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.6/5,650
230,Delivery,"Casual Dining, Cafe","112, Bull Temple Road,next to more Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,No,3.8/5,550
231,Delivery,Quick Bites,"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,No,3.9/5,450
235,Delivery,Casual Dining,"5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,No,3.7/5,450
237,Delivery,Quick Bites,"60/1, East Anjaneya Temple Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,No,3.8/5,150
248,Delivery,Casual Dining,"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,2.9/5,700
251,Delivery,Quick Bites,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.7/5,600
253,Delivery,Quick Bites,"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.1/5,200
255,Delivery,Casual Dining,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore, Mysore Road, Banashankari",No,Yes,3.8/5,400
256,Delivery,Quick Bites,"Next To BMTC Bus Stand, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,300
257,Delivery,Casual Dining,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,600
258,Delivery,Casual Dining,"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,700
259,Delivery,Casual Dining,"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,750
262,Delivery,Quick Bites,"126, Opposite Police Station, 7th Main, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.0/5,200
264,Delivery,Casual Dining,"9/2, South End Main Road, Next to Surana College, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.9/5,600
265,Delivery,Quick Bites,"11/4, Old Market Road, V V Puram, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,2.5/5,200
268,Delivery,"Quick Bites, Cafe","224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.6/5,600
271,Delivery,Casual Dining,"2, Ashoka Pillar Circle, 2nd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.1/5,550
274,Delivery,Quick Bites,"412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.7/5,200
275,Delivery,Casual Dining,"43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,650
277,Delivery,Casual Dining,"Near dayananda sagar college kumarswamy layout, Kumaraswamy Layout, Banashankari",No,Yes,3.9/5,500
278,Delivery,Casual Dining,"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,4.1/5,"1,200"
279,Delivery,Cafe,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,650
282,Delivery,Delivery,"287, 1st Floor, 7th Block, 100 Feet Ring Road, Phase 4, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,600
284,Delivery,Quick Bites,"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.3/5,100
285,Delivery,Casual Dining,"63, 18th Cross, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.7/5,850
290,Delivery,Casual Dining,"234, 32 A Cross, 2nd Main Road, 7th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.3/5,400
291,Delivery,Cafe,"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,2.6/5,450
292,Delivery,Quick Bites,"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.9/5,300
293,Delivery,Cafe,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.7/5,500
294,Delivery,Quick Bites,"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.2/5,100
295,Delivery,Quick Bites,"36/1, 27th Cross, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.9/5,400
296,Delivery,Casual Dining,"13, 32nd Cross, 7th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.8/5,900
298,Delivery,Casual Dining,"137/4, 8th Main Road, 27th Cross, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.9/5,550
299,Delivery,Casual Dining,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.1/5,800
301,Delivery,Quick Bites,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.6/5,250
303,Delivery,Casual Dining,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.0/5,"1,200"
304,Delivery,Quick Bites,"1328, 50 Feet Road, Stage 1, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.7/5,400
305,Delivery,Cafe,"23, Kanakapura Road, Near SRS Petrol Pump, Lalbagh West Gate, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.1/5,500
307,Delivery,Cafe,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.0/5,700
308,Delivery,Quick Bites,"534, 49th Cross, 50 Feet Road, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,2.6/5,400
309,Delivery,Casual Dining,"23, 7th Main, KSRTC Layout, Chikkalsandra, Main Road, Uttarahalli, Bangalore, Uttarahalli, Banashankari",No,Yes,3.4/5,400
310,Delivery,Cafe,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,800
311,Delivery,Casual Dining,"1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,2.8/5,800
313,Delivery,Quick Bites,"186, 24th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,200
314,Delivery,Delivery,"8th Main Road, Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar, Bengaluru, Rajarajeshwari Nagar, Banashankari",No,Yes,4.0/5,600
315,Delivery,Casual Dining,"Pai Viceroy, 1504, 16th Cross, 9th Main, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",Yes,Yes,4.2/5,900
316,Delivery,Casual Dining,"2465, 2nd Floor, Opposite BDA Complex, 24th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.0/5,800
317,Delivery,Dessert Parlor,"30, 8th F Main Road, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.5/5,400
322,Delivery,Dessert Parlor,"599, 24th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,400
323,Delivery,Cafe,"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,3.9/5,300
330,Delivery,Cafe,"269, JHBCS Layout, 2nd Main Road, Teacher's Colony, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.8/5,650
333,Delivery,Casual Dining,"1616, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.8/5,600
334,Delivery,Cafe,"22, 2nd Main Road, National College Road, 7th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.1/5,650
